Title,Category
"I Like It Like That: A Gossip Girl Novel (Gossip Girl, 5)","Young Adult Fiction , School & Education , Boarding School & Prep School"
So You Want to Be a Wizard: The First Book in the Young Wizards Series,"Young Adult Fiction , Fantasy , Wizards & Witches"
Dr. Franklin's Island (Readers Circle),"Young Adult Fiction , Fantasy , General"
Gossip Girl No. 8: Nothing Can Keep Us Together,"Young Adult Fiction , School & Education , Boarding School & Prep School"
The Gospel According to Larry,"Young Adult Fiction , Social Themes , General"
Eragon (Movie Tie-in Edition) (The Inheritance Cycle),"Young Adult Fiction , Fantasy , General"
"The Sacrifice (The Daughters of the Moon, No. 5)","Young Adult Fiction , Fantasy , General"
Journey to the Centre of the Earth,"Young Adult Fiction , General"
Early Thunder,"Young Adult Fiction , Historical , General"
The Dead Man in Indian Creek,"Young Adult Fiction , General"
Far North,"Young Adult Fiction , Action & Adventure , General"
Jane Eyre (Puffin Classics),"Young Adult Fiction , Girls & Women"
The Man Who Was Poe,"Young Adult Fiction , General"
Eclipse (Twilight),"Young Adult Fiction , Fantasy , General"
Falcondance: The Kiesha'ra: Volume Three (The Keisha'ra),"Young Adult Fiction , Fantasy , General"
Snakecharm: The Kiesha'ra: Volume Two,"Young Adult Fiction , Fantasy , General"
"Cirque Du Freak: Tunnels of Blood: Book 3 in the Saga of Darren Shan (Cirque Du Freak, 3)","Young Adult Fiction , Horror"
Fat Camp,"Young Adult Fiction , Social Themes , Emotions & Feelings"
Hangman's Curse (The Veritas Project Vol. 1),"Young Adult Fiction , Religious , Christian , General"
The Goats,"Young Adult Fiction , Social Themes , Peer Pressure"
"Mary, Bloody Mary","Young Adult Fiction , Historical , Europe"
Shrimp,"Young Adult Fiction , Family , Blended Families"
Midnighters #3: Blue Noon,"Young Adult Fiction , Science Fiction , General"
Alvin's Swap Shop,"Young Adult Fiction , General"
Stormbreaker,"Young Adult Fiction , Mysteries & Detective Stories"
"The White Mountains (The Tripods, Book No. 2)","Young Adult Fiction , General"
That's So Raven: What You See is What You Get,"Young Adult Fiction , Media Tie-In"
Welcome To Junior High! (Girl Talk),"Young Adult Fiction , General"
The City of Gold and Lead,"Young Adult Fiction , Fantasy , General"
Blood (Fearless #9),"Young Adult Fiction , Action & Adventure , General"
"The Golden Compass (His Dark Materials, Book 1)","Young Adult Fiction , Fantasy , General"
The Black Stallion Revolts,"Young Adult Fiction , Animals , Horses"
Jacob Have I Loved,"Young Adult Fiction , Family , Siblings"
After the Goat Man,"Young Adult Fiction , Social Themes , Self-Esteem & Self-Reliance"
The Midwife's Apprentice,"Young Adult Fiction , Historical , Medieval"
Harriet the Spy,"Young Adult Fiction , School & Education , General"
Tangerine,"Young Adult Fiction , Humorous , General"
Romeo and Juliet--Together (And Alive!) at Last,"Young Adult Fiction , General"
Park's Quest,"Young Adult Fiction , Historical , Military & Wars"
The Moves Make the Man,"Young Adult Fiction , Social Themes , Friendship"
Jacob Have I Loved,"Young Adult Fiction , Girls & Women"
Woodsong,"Young Adult Fiction , General"
Jade Tiger,"Young Adult Fiction , Animals , General"
Oliver Twist (Puffin Classics),"Young Adult Fiction , Classics"
Crazy Lady! (Trophy Newbery),"Young Adult Fiction , Social Themes , General"
Patty Dillman of Hot Dog Fame,"Young Adult Fiction , General"
"Home to the Prairie (The Days of Laura Ingalls Wilder, Book 4)","Young Adult Fiction , General"
Anne of the Island (Anne of Green Gables),"Young Adult Fiction , Classics"
Speed of Light,"Young Adult Fiction , Historical , General"
Slake's Limbo (Weekly Reader Books),"Young Adult Fiction , General"
The Legend of Annie Murphy (The Cooper Kids Adventure Series #7),"Young Adult Fiction , Religious , Christian , General"
Ttyl,"Young Adult Fiction , Social Themes , Friendship"
Just Ella (Palace Chronicles),"Young Adult Fiction , Royalty"
"Dreams on Ice (Girls Only!, Book 1)","Young Adult Fiction , Sports & Recreation , Winter Sports"
Dog Days of the West (Wishbone Super Adventure #1),"Young Adult Fiction , General"
Telling Christina Goodbye,"Young Adult Fiction , Social Themes , Death & Dying"
Full Tilt,"Young Adult Fiction , Action & Adventure , General"
Just Between Us (So Little Time),"Young Adult Fiction , Media Tie-In"
Playing for Keeps,"Young Adult Fiction , Mysteries & Detective Stories"
"Missouri Homestead (The Days of Laura Ingalls Wilder, Book 1)","Young Adult Fiction , General"
Children of Promise (The Days of Laura Ingalls Wilder #2),"Young Adult Fiction , General"
Slake Limbo Uptown by Felice Holman,"Young Adult Fiction , Social Themes , General"
Bridge to Terabithia,"Young Adult Fiction , Social Themes , Friendship"
"Roll of Thunder, Hear My Cry","Young Adult Fiction , Social Themes , Prejudice & Racism"
The Westing Game,"Young Adult Fiction , Mysteries & Detective Stories"
"A Dog's Life (Sabrina the Teenage Witch, Book 9)","Young Adult Fiction , Fantasy , General"
The Call of the Wild and Other Stories (Illustrated Junior Library),"Young Adult Fiction , Classics"
My Perfect Life,"Young Adult Fiction , Social Themes , General"
The Bomb,"Young Adult Fiction , General"
Timothy of the Cay,"Young Adult Fiction , General"
Pride and Prejudice (Puffin Classics),"Young Adult Fiction , Classics"
The Grey King (The Dark is Rising Sequence),"Young Adult Fiction , Fantasy , General"
The Bronze Bow,"Young Adult Fiction , Historical , Prehistory"
Anna of Byzantium (Laurel-Leaf Books),"Young Adult Fiction , Royalty"
R U 4 Real? (TodaysGirls.com #4),"Young Adult Fiction , Religious , Christian , General"
