Title,Category
Rubaiyat of Omar Khayyam,"Poetry , Middle Eastern"
Expressions of Faith,"Poetry , Subjects & Themes , Inspirational & Religious"
The Joys and Challenges of Motherhood: A Collection of Poems (Family),"Poetry , General"
"You Go, Girl Keep Dreaming: a special book about always believing in yourself","Young Adult Nonfiction , Poetry"
Dutch Sneakers and Flea Keepers: 14 More Stories,"Juvenile Nonfiction , Poetry , Humorous"
A Collection of Love Gifts - Helen Steiner Rice,"Poetry , Subjects & Themes , Inspirational & Religious"
Rhyme's Reason: A Guide to English Verse,"Poetry , General"
The Bug in Teacher's Coffee: And Other School Poems,"Juvenile Nonfiction , Poetry , Humorous"
Birthday Letters,"Poetry , European , English, Irish, Scottish, Welsh"
A Book of Comfort,"Poetry , General"
A Heckuva Job: More of the Bush Administration in Rhyme,"Poetry , American , General"
Little Girls In Church (Pitt Poetry Series),"Poetry , American , General"
American Crawl (Vassar Miller Prize in Poetry),"Poetry , American , General"
Selected Canterbury Tales,"Poetry , European , English, Irish, Scottish, Welsh"
Three Books: Body Rags/ Mortal Acts Mortal Words/the Past,"Poetry , American , General"
"Aeneid of Virgil, The","Poetry , General"
Ireland: A Celebration in Verse,"Poetry , English, Irish, Scottish, Welsh"
The Body Electric: America's Best Poetry from The American Poetry Review,"Poetry , Anthologies (multiple authors)"
Poetry for Young People: Robert Frost,"Juvenile Nonfiction , Poetry , General"
Daughters of the Fifth Sun,"Poetry , General"
God's Promises from A to Z,"Poetry , American , General"
Poems That Stir the Heart,"Poetry , General"
The Poetry of Pope John Paul II Roman Triptych Meditations,"Poetry , General"
Poems for the Very Young,"Juvenile Nonfiction , Poetry , General"
Mrs. Cole on an Onion Roll : And Other School Poems,"Juvenile Nonfiction , Poetry , Humorous"
"Celebrations of the Heart,","Poetry , Subjects & Themes , Inspirational & Religious"
Good Poems for Hard Times,"Poetry , Anthologies (multiple authors)"
Good Poems,"Poetry , American , General"
The Book of Psalms (Dover Thrift Editions: Poetry),"Poetry , Subjects & Themes , Inspirational & Religious"
Great Short Poems (Dover Thrift Editions),"Poetry , Anthologies (multiple authors)"
Thoughts of Friendship,"Poetry , Anthologies (multiple authors)"
"Jesus, the Reason for the Season","Poetry , Subjects & Themes , Inspirational & Religious"
Good Poems for Hard Times,"Poetry , American , General"
My Last Duchess and Other Poems (Dover Thrift Editions: Poetry),"Poetry , European , English, Irish, Scottish, Welsh"
God Loves A Poet,"Poetry , Inspirational & Religious"
The Canterbury Tales (Oxford World's Classics),"Poetry , European , English, Irish, Scottish, Welsh"
"Girlfriends Are the Best Friends of All: A Tribute to Laughter, Secrets, Girl Talk, Chocolate, Shopping... and Everything Else Women Share","Poetry , Anthologies (multiple authors)"
Introduction to Spanish Poetry: A Dual-Language Book (Dover Dual Language Spanish),"Poetry , European , General"
Delights & Shadows,"Poetry , American , General"
The Canterbury Tales: A Selection,"Poetry , General"
The Complete Poetry of John Milton,"Poetry , European , English, Irish, Scottish, Welsh"
